YEAR (GSS year for this respondent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WRKSTAT (labor force status),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,271,0,0,0,0,52,94,0,0,0,0,18,17,0,0,0,0,29,13,0,0,0,0,93,30,0,0,0,0,18,33,0,0,0,0,7,341,0,0,0,0,15,10
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,360,0,0,0,0,63,133,0,0,0,0,26,14,0,0,0,0,59,36,0,0,0,0,124,55,0,0,0,0,25,32,0,0,0,0,10,388,0,0,0,0,24,24
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,296,0,0,0,0,68,116,0,0,0,0,20,16,0,0,0,0,68,26,0,0,0,0,93,50,0,0,0,0,12,24,0,0,0,0,13,335,0,0,0,0,7,18
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,331,0,0,0,0,53,118,0,0,0,0,17,20,0,0,0,0,36,15,0,0,0,0,80,51,0,0,0,0,24,30,0,0,0,0,10,282,0,0,0,0,10,3
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,300,0,0,0,0,64,111,0,0,0,0,15,22,0,0,0,0,35,14,0,0,0,0,110,73,0,0,0,0,30,23,0,0,0,0,5,263,0,0,0,0,8,7
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,284,0,0,0,0,55,108,0,0,0,0,8,23,0,0,0,0,26,11,0,0,0,0,95,67,0,0,0,0,17,27,0,0,0,0,5,294,0,0,0,0,17,8
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,425,0,0,0,0,83,137,0,0,0,0,9,12,0,0,0,0,31,17,0,0,0,0,127,90,0,0,0,0,11,42,0,0,0,0,15,280,0,0,0,0,14,16
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,311,0,0,0,0,51,116,0,0,0,0,18,18,0,0,0,0,23,15,0,0,0,0,111,76,0,0,0,0,40,29,0,0,0,0,10,201,0,0,0,0,6,10
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,302,0,0,0,0,58,101,0,0,0,0,20,22,0,0,0,0,28,5,0,0,0,0,104,79,0,0,0,0,23,40,0,0,0,0,8,244,0,0,0,0,10,11
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,316,0,0,0,0,44,108,0,0,0,0,17,7,0,0,0,0,30,10,0,0,0,0,105,62,0,0,0,0,29,34,0,0,0,0,7,170,0,0,0,0,9,10
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,283,0,0,0,0,71,117,0,0,0,0,21,12,0,0,0,0,27,13,0,0,0,0,103,90,0,0,0,0,36,33,0,0,0,0,6,243,0,0,0,0,18,2
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,327,0,0,0,0,62,119,0,0,0,0,12,23,0,0,0,0,44,13,0,0,0,0,117,103,0,0,0,0,32,36,0,0,0,0,7,198,0,0,0,0,18,18
1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,690,0,0,0,0,141,209,0,0,0,0,20,37,0,0,0,0,59,31,0,0,0,0,239,159,0,0,0,0,53,57,0,0,0,0,13,353,0,0,0,0,33,18
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,664,0,0,0,0,105,208,0,0,0,0,32,29,0,0,0,0,56,24,0,0,0,0,190,164,0,0,0,0,50,58,0,0,0,0,17,332,0,0,0,0,14,32
1998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,656,0,0,0,0,109,213,0,0,0,0,34,19,0,0,0,0,43,23,0,0,0,0,201,170,0,0,0,0,36,47,0,0,0,0,19,319,0,0,0,0,27,21
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,655,0,0,0,0,119,201,0,0,0,0,30,35,0,0,0,0,36,24,0,0,0,0,208,165,0,0,0,0,35,60,0,0,0,0,29,301,0,0,0,0,27,27
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,615,0,0,0,0,97,231,0,0,0,0,25,31,0,0,0,0,75,56,0,0,0,0,220,165,0,0,0,0,50,41,0,0,0,0,22,256,0,0,0,0,33,41
2004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,621,0,0,0,0,112,205,0,0,0,0,37,40,0,0,0,0,49,47,0,0,0,0,196,199,0,0,0,0,70,69,0,0,0,0,22,240,0,0,0,0,25,37
2006,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,963,0,0,0,0,177,284,0,0,0,0,34,61,0,0,0,0,75,70,0,0,0,0,341,330,0,0,0,0,85,93,0,0,0,0,37,453,0,0,0,0,89,62
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,414,0,0,0,0,87,143,0,0,0,0,15,40,0,0,0,0,51,26,0,0,0,0,142,150,0,0,0,0,27,38,0,0,0,0,26,198,0,0,0,0,26,29
2010,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,409,0,0,0,0,111,146,0,0,0,0,12,20,0,0,0,0,105,52,0,0,0,0,137,133,0,0,0,0,49,58,0,0,0,0,37,198,0,0,0,0,19,33
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,390,0,0,0,0,91,153,0,0,0,0,17,29,0,0,0,0,61,49,0,0,0,0,149,161,0,0,0,0,33,46,0,0,0,0,19,169,0,0,0,0,33,18
2014,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,544,0,0,0,0,121,158,0,0,0,0,13,28,0,0,0,0,65,37,0,0,0,0,215,210,0,0,0,0,63,60,0,0,0,0,33,229,0,0,0,0,29,38
2016,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,573,0,0,0,0,139,235,0,0,0,0,21,24,0,0,0,0,75,52,0,0,0,0,247,260,0,0,0,0,65,37,0,0,0,0,37,247,0,0,0,0,41,44
2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,494,0,0,0,0,99,166,0,0,0,0,22,38,0,0,0,0,38,38,0,0,0,0,209,195,0,0,0,0,71,43,0,0,0,0,37,211,0,0,0,0,17,19
2021,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,4,6,53,0,0,969,739,3,15,0,2,138,235,1,4,0,0,48,61,2,8,0,0,181,150,2,15,0,1,413,328,3,0,0,0,70,99,1,18,0,0,43,311,0,0,0,0,38,66
2022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,0,922,728,0,0,3,2,126,219,0,0,0,0,37,58,0,0,1,0,98,80,0,0,1,0,310,321,0,0,1,0,85,56,0,1,0,0,71,242,0,1,1,0,70,103
Total,0,0,0,0,10,11,0,0,0,0,0,1,1,0,0,0,1,5,6,57,1,0,20873,14584,3,16,3,3,2778,5025,1,4,0,0,756,848,2,8,1,0,1793,1013,2,15,1,1,5428,4164,3,0,1,0,1398,1414,1,19,0,0,590,10014,0,1,1,0,756,778
